Entity,Code,Year,Other renewables (including geothermal and biomass) electricity generation - TWh,Solar generation - TWh,Wind generation - TWh,Hydro generation - TWh,Other renewables (including geothermal and biomass) electricity generation - TWh,Solar generation - TWh,Wind generation - TWh,Hydro generation - TWh
United Kingdom,GBR,1965,0,0,0,4.612,0,0,0,4.612
United Kingdom,GBR,1966,0,0,0,4.536,0,0,0,4.536
United Kingdom,GBR,1967,0,0,0,4.885,0,0,0,4.885
United Kingdom,GBR,1968,0,0,0,3.722,0,0,0,3.722
United Kingdom,GBR,1969,0,0,0,3.256,0,0,0,3.256
United Kingdom,GBR,1970,0,0,0,4.536,0,0,0,4.536
United Kingdom,GBR,1971,0,0,0,3.373,0,0,0,3.373
United Kingdom,GBR,1972,0,0,0,3.373,0,0,0,3.373
United Kingdom,GBR,1973,0,0,0,3.838,0,0,0,3.838
United Kingdom,GBR,1974,0,0,0,4.071,0,0,0,4.071
United Kingdom,GBR,1975,0,0,0,3.838,0,0,0,3.838
United Kingdom,GBR,1976,0,0,0,4.536,0,0,0,4.536
United Kingdom,GBR,1977,0,0,0,3.954,0,0,0,3.954
United Kingdom,GBR,1978,0,0,0,4.071,0,0,0,4.071
United Kingdom,GBR,1979,0,0,0,4.303,0,0,0,4.303
United Kingdom,GBR,1980,0,0,0,3.954,0,0,0,3.954
United Kingdom,GBR,1981,0,0,0,4.419,0,0,0,4.419
United Kingdom,GBR,1982,0,0,0,4.536,0,0,0,4.536
United Kingdom,GBR,1983,0,0,0,4.536,0,0,0,4.536
United Kingdom,GBR,1984,0,0.001010101,0,4.536,0,0.001010101,0,4.536
United Kingdom,GBR,1985,0,0.001010101,0,3.9542,0,0.001010101,0,3.9542
United Kingdom,GBR,1986,0,0.001010101,0,4.7683,0,0.001010101,0,4.7683
United Kingdom,GBR,1987,0,0,0,4.1868,0,0,0,4.1868
United Kingdom,GBR,1988,0,0.001010101,0,4.8846,0,0.001010101,0,4.8846
United Kingdom,GBR,1989,0,0,0.009,4.7683,0,0,0.009,4.7683
United Kingdom,GBR,1990,0.5958,0,0.009,5.1172,0.5958,0,0.009,5.1172
United Kingdom,GBR,1991,0.6879,0,0.009,4.5357,0.6879,0,0.009,4.5357
United Kingdom,GBR,1992,0.9342,0,0.033,5.3498,0.9342,0,0.033,5.3498
United Kingdom,GBR,1993,1.198,0,0.217,4.3031,1.198,0,0.217,4.3031
United Kingdom,GBR,1994,1.5185,0,0.344,5.1172,1.5185,0,0.344,5.1172
United Kingdom,GBR,1995,1.6416,0,0.392,4.652,1.6416,0,0.392,4.652
United Kingdom,GBR,1996,1.8046,0,0.488,3.39596,1.8046,0,0.488,3.39596
United Kingdom,GBR,1997,2.1098,0,0.667,4.39614,2.1098,0,0.667,4.39614
United Kingdom,GBR,1998,2.6542,0,0.877,5.1176143,2.6542,0,0.877,5.1176143
United Kingdom,GBR,1999,3.4291,0.001,0.85,5.335597,3.4291,0.001,0.85,5.335597
United Kingdom,GBR,2000,3.8818,0.001,0.946,5.0857453,3.8818,0.001,0.946,5.0857453
United Kingdom,GBR,2001,4.526,0.002,0.965,4.054648,4.526,0.002,0.965,4.054648
United Kingdom,GBR,2002,5.0801,0.003,1.259,4.7874846,5.0801,0.003,1.259,4.7874846
United Kingdom,GBR,2003,6.1737,0.003,1.288,3.2277005,6.1737,0.003,1.288,3.2277005
United Kingdom,GBR,2004,7.3639,0.004,1.939,4.8444605,7.3639,0.004,1.939,4.8444605
United Kingdom,GBR,2005,9.1023,0.008,2.912,4.9229,9.1023,0.008,2.912,4.9229
United Kingdom,GBR,2006,9.2769,0.011,4.236,4.5934067,9.2769,0.011,4.236,4.5934067
United Kingdom,GBR,2007,9.324501,0.014,5.2738175,5.0773044,9.324501,0.014,5.2738175,5.0773044
United Kingdom,GBR,2008,9.649278,0.017,7.097248,5.141186,9.649278,0.017,7.097248,5.141186
United Kingdom,GBR,2009,10.714948,0.020000206,9.280972,5.2278924,10.714948,0.020000206,9.280972,5.2278924
United Kingdom,GBR,2010,12.262968,0.0402771,10.285645,3.5913758,12.262968,0.0402771,10.285645,3.5913758
United Kingdom,GBR,2011,13.313794,0.24366343,15.962969,5.69175,13.313794,0.24366343,15.962969,5.69175
United Kingdom,GBR,2012,14.737997,1.3537636,19.84712,5.309068,14.737997,1.3537636,19.84712,5.309068
United Kingdom,GBR,2013,18.10489,2.010262,28.397152,4.701509,18.10489,2.010262,28.397152,4.701509
United Kingdom,GBR,2014,22.621246,4.0540624,31.959244,5.887849,22.621246,4.0540624,31.959244,5.887849
United Kingdom,GBR,2015,29.258976,7.532864,40.27472,6.2972684,29.258976,7.532864,40.27472,6.2972684
United Kingdom,GBR,2016,30.065535,10.407928,37.159424,5.3705845,30.065535,10.407928,37.159424,5.3705845
United Kingdom,GBR,2017,31.89828,11.45724,49.64115,5.8818,31.89828,11.45724,49.64115,5.8818
United Kingdom,GBR,2018,35.1109,12.6684,56.90761,5.4433,35.1109,12.6684,56.90761,5.4433
United Kingdom,GBR,2019,37.5402,12.41805,63.83489,5.9329,37.5402,12.41805,63.83489,5.9329
United Kingdom,GBR,2020,39.5261,12.504,75.3798,6.8687,39.5261,12.504,75.3798,6.8687
United Kingdom,GBR,2021,40.0524,12.0755,64.6632,5.3983,40.0524,12.0755,64.6632,5.3983
United Kingdom,GBR,2022,35.8313,13.2829,80.2572,5.6401,35.8313,13.2829,80.2572,5.6401
United Kingdom,GBR,2023,33.99,13.8265,81.9895,5.1945,33.99,13.8265,81.9895,5.1945
