Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates
Hungary,HUN,1950,2.615
Hungary,HUN,1951,2.544
Hungary,HUN,1952,2.484
Hungary,HUN,1953,2.75
Hungary,HUN,1954,2.964
Hungary,HUN,1955,2.817
Hungary,HUN,1956,2.607
Hungary,HUN,1957,2.296
Hungary,HUN,1958,2.176
Hungary,HUN,1959,2.079
Hungary,HUN,1960,2.021
Hungary,HUN,1961,1.937
Hungary,HUN,1962,1.801
Hungary,HUN,1963,1.82
Hungary,HUN,1964,1.814
Hungary,HUN,1965,1.82
Hungary,HUN,1966,1.89
Hungary,HUN,1967,2.013
Hungary,HUN,1968,2.067
Hungary,HUN,1969,2.041
Hungary,HUN,1970,1.98
Hungary,HUN,1971,1.931
Hungary,HUN,1972,1.931
Hungary,HUN,1973,1.952
Hungary,HUN,1974,2.284
Hungary,HUN,1975,2.363
Hungary,HUN,1976,2.251
Hungary,HUN,1977,2.164
Hungary,HUN,1978,2.077
Hungary,HUN,1979,2.018
Hungary,HUN,1980,1.92
Hungary,HUN,1981,1.877
Hungary,HUN,1982,1.796
Hungary,HUN,1983,1.745
Hungary,HUN,1984,1.757
Hungary,HUN,1985,1.847
Hungary,HUN,1986,1.846
Hungary,HUN,1987,1.829
Hungary,HUN,1988,1.816
Hungary,HUN,1989,1.819
Hungary,HUN,1990,1.857
Hungary,HUN,1991,1.863
Hungary,HUN,1992,1.77
Hungary,HUN,1993,1.686
Hungary,HUN,1994,1.64
Hungary,HUN,1995,1.568
Hungary,HUN,1996,1.458
Hungary,HUN,1997,1.377
Hungary,HUN,1998,1.326
Hungary,HUN,1999,1.29
Hungary,HUN,2000,1.32
Hungary,HUN,2001,1.312
Hungary,HUN,2002,1.303
Hungary,HUN,2003,1.275
Hungary,HUN,2004,1.281
Hungary,HUN,2005,1.312
Hungary,HUN,2006,1.341
Hungary,HUN,2007,1.322
Hungary,HUN,2008,1.346
Hungary,HUN,2009,1.321
Hungary,HUN,2010,1.257
Hungary,HUN,2011,1.25
Hungary,HUN,2012,1.334
Hungary,HUN,2013,1.35
Hungary,HUN,2014,1.424
Hungary,HUN,2015,1.446
Hungary,HUN,2016,1.514
Hungary,HUN,2017,1.524
Hungary,HUN,2018,1.522
Hungary,HUN,2019,1.531
Hungary,HUN,2020,1.576
Hungary,HUN,2021,1.605
Hungary,HUN,2022,1.55
Hungary,HUN,2023,1.486
Singapore,SGP,1950,6.225
Singapore,SGP,1951,6.253
Singapore,SGP,1952,6.286
Singapore,SGP,1953,6.321
Singapore,SGP,1954,6.346
Singapore,SGP,1955,6.375
Singapore,SGP,1956,6.444
Singapore,SGP,1957,6.404
Singapore,SGP,1958,6.316
Singapore,SGP,1959,6.121
Singapore,SGP,1960,5.765
Singapore,SGP,1961,5.418
Singapore,SGP,1962,5.216
Singapore,SGP,1963,5.159
Singapore,SGP,1964,4.971
Singapore,SGP,1965,4.667
Singapore,SGP,1966,4.452
Singapore,SGP,1967,3.914
Singapore,SGP,1968,3.528
Singapore,SGP,1969,3.222
Singapore,SGP,1970,3.068
Singapore,SGP,1971,3.02
Singapore,SGP,1972,3.031
Singapore,SGP,1973,2.782
Singapore,SGP,1974,2.351
Singapore,SGP,1975,2.08
Singapore,SGP,1976,2.09
Singapore,SGP,1977,1.826
Singapore,SGP,1978,1.787
Singapore,SGP,1979,1.789
Singapore,SGP,1980,1.739
Singapore,SGP,1981,1.711
Singapore,SGP,1982,1.672
Singapore,SGP,1983,1.54
Singapore,SGP,1984,1.54
Singapore,SGP,1985,1.533
Singapore,SGP,1986,1.347
Singapore,SGP,1987,1.487
Singapore,SGP,1988,1.75
Singapore,SGP,1989,1.527
Singapore,SGP,1990,1.583
Singapore,SGP,1991,1.495
Singapore,SGP,1992,1.485
Singapore,SGP,1993,1.498
Singapore,SGP,1994,1.471
Singapore,SGP,1995,1.443
Singapore,SGP,1996,1.424
Singapore,SGP,1997,1.372
Singapore,SGP,1998,1.261
Singapore,SGP,1999,1.239
Singapore,SGP,2000,1.342
Singapore,SGP,2001,1.186
Singapore,SGP,2002,1.172
Singapore,SGP,2003,1.081
Singapore,SGP,2004,1.071
Singapore,SGP,2005,1.072
Singapore,SGP,2006,1.068
Singapore,SGP,2007,1.069
Singapore,SGP,2008,1.044
Singapore,SGP,2009,1.002
Singapore,SGP,2010,0.934
Singapore,SGP,2011,0.964
Singapore,SGP,2012,1.027
Singapore,SGP,2013,0.949
Singapore,SGP,2014,1.003
Singapore,SGP,2015,0.977
Singapore,SGP,2016,0.943
Singapore,SGP,2017,0.936
Singapore,SGP,2018,0.948
Singapore,SGP,2019,0.942
Singapore,SGP,2020,0.942
Singapore,SGP,2021,0.944
Singapore,SGP,2022,0.943
Singapore,SGP,2023,0.943
